p,o
http://dbpedia.org/ontology/abstract,Abbey Stadium är en fotbollsarena i Cambridge i England. Den är hemmaarena för Cambridge United. Den tar 9 617 åskådare. Abbey Stadium byggdes 1923 och invigdes som fotbollsarena 1932. Den första matchen som spelades på arenan var en vänskapsmatch mellan Cambridge United och Cambridge University Press den 31 augusti 1932. Denna arenarelaterade artikel saknar väsentlig information. Du kan hjälpa till genom att lägga till den.
http://dbpedia.org/ontology/abstract,"Abbey Stadium, chiamato per motivi di sponsor R Costings Abbey Stadium, è uno Stadio di Calcio. Si trova a Cambridge, in Inghilterra, ed ospita le partite in casa del Cambridge United F.C.. È stato aperto il 31 agosto 1932 ed ha una capacità di 9 617 posti. Il record di spettatori è stato registrato il 1º maggio 1970 contro il Chelsea. C'erano 14 000 persone ad assistere la partita."
http://dbpedia.org/ontology/abstract,"Das Abbey Stadium ist ein Fußballstadion in der englischen Stadt Cambridge, Grafschaft Cambridgeshire. Der Fußballclub Cambridge United aus der viertklassigen EFL League Two empfängt hier seine Gegner zu den Spielen. Von 2009 bis 2017 trug die Spielstätte an der Newmarket Road den Sponsorennamen R Costings Abbey Stadium. Insgesamt bieten sich den Besuchern auf den vier Tribünen 9.617 Plätze, von denen 4.948 Sitzplätze sind."
http://dbpedia.org/ontology/abstract,"Het Abbey Stadium is een voetbalstadion in de Engelse stad Cambridge. Het stadion werd geopend in 1932 en is de vaste thuishaven van Cambridge United FC. Het stadion heeft een capaciteit van 8.127 toeschouwers, waarvan 4.376 zitplaatsen. Het grootste toeschouwersaantal werd behaald in 1970 toen 14.000 mensen kwamen kijken naar een vriendschappelijke wedstrijd tussen Cambridge United FC en Chelsea FC. Het was de eerste keer in de Engelse voetbalgeschiedenis dat een toeschouwersrecord verbroken werd tijdens een vriendschappelijke wedstrijd. Voormalige sponsornamen van het stadion zijn Cambs Glass Stadium, Trade Recruitment Stadium, en R Costings Abbey Stadium."
http://dbpedia.org/ontology/abstract,"L'Abbey Stadium est un stade de football situé à Cambridge, en Angleterre. Il s'agit du stade du Cambridge United Football Club. Depuis 1932, sa capacité maximale est de 8 127 spectateurs. Le Cambridge Regional College F.C., centre de formation du Cambridge United, jouait ses matches à domicile dans ce stade de 2006 jusqu'à sa dissolution en 2014. Le premier match joué à l'Abbey Stadium fut un match amical contre l'équipe de Cambridge University Press F.C le 31 août 1932. Le record d'affluence (14 000) fut également établi lors d'un match amical contre Chelsea, marquant la première utilisation des nouveaux projecteurs, le 1er mai 1970. Ce fut la première fois que le record d'affluence d'une équipe de la ligue fut battu lors d'un match amical. Jusqu'à l'époque moderne, l'Abbey Stadium a été le seul terrain de la ligue de football à avoir reçu le titre de stade, et le second après Wembley à avoir été nommé comme tel. Cependant, de récents changements de terrain et de nom ont fait qu'un grand nombre de clubs de la ligue jouent désormais sur des terrains répertoriés comme stades. Pour des raisons de sponsor, le stade était nommé le Cambs Glass Stadium jusqu'en 2017. Il a auparavant été nommé Trade Recruitment Stadium, et R Costings Abbey Stadium pour des raisons similaires. Cependant, grâce à la collaboration des sponsors, le stade a retrouvé le nom d'Abbey Stadium, son appellation d'origine."
http://dbpedia.org/ontology/abstract,"O Abbey Stadium é um estádio de futebol localizado em Cambridge,Cambridgeshire, Inglaterra. É a casa do Cambridge United desde 1932, e atualmente tem a capacidade máxima para 8.127 torcedores."
http://dbpedia.org/ontology/abstract,"Стадион Эбби (англ. Abbey Stadium) — многоцелевой открытый стадион расположенный в Кембридже, Англия. Является домашней ареной для футбольного клуба — Кембридж Юнайтед."
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Cambridge
http://dbpedia.org/ontology/openingDate,1932-08-31
http://dbpedia.org/ontology/operator,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Grosvenor_Group
http://dbpedia.org/ontology/seatingCapacity,8127
http://dbpedia.org/ontology/tenant,http://dbpedia.org/resource/Cambridge_Regional_College_F.C.
http://dbpedia.org/ontology/tenant,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageExternalLink,http://stadiumdb.com/stadiums/eng/abbey_stadium
http://dbpedia.org/ontology/wikiPageExternalLink,https://web.archive.org/web/20050224224611/http:/www.cambridgefansunited.org/abbeybuyback/
http://dbpedia.org/ontology/wikiPageExternalLink,https://web.archive.org/web/20090404094030/http:/www.cambridge-united.co.uk/page/StadiumGuide/0%2C%2C10423%2C00.html
http://dbpedia.org/ontology/wikiPageID,1602810
http://dbpedia.org/ontology/wikiPageLength,17911
http://dbpedia.org/ontology/wikiPageRevisionID,1013037831
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/1930–31_in_English_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/1991–92_in_English_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Abbey_Aid
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_Regional_College_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_University_Press_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_rules
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1932_establishments_in_England
